slug,заголовок,частота,ключи
kak-sformirovat-privychku,Как формируется привычка и сколько на это нужно времени,20338578,вредная привычка · атомные привычки · трекер привычки на · привычки жизни · атомные привычки читать · атомные привычки джеймс · приучаем себя · про привычки · сила привычки
spisok-del,"Список дел, который работает",20249989,список дел · список дел перед · документ списком дел · дела какие список
sila-voli,Сила воли: как она устроена и почему заканчивается,20176722,сила воли · сила воли против · про силу воли · сила воли келли · сила воли макгонигал · хорошая сила воли · индийский воля сила
smena-professii-vzroslym,Смена профессии во взрослом возрасте: с чего начать,303599,начало карьеры в · выбор профессии · тест на выбор профессии после · профориентация для взрослых · во сколько лет начал карьеру · тест на профориентацию для взрослых · выбор профессии самоопределение
koleso-balansa,Колесо жизненного баланса: как им пользоваться,202615,колесо баланса
poleznye-privychki,Полезные привычки: какие действительно меняют жизнь,29352,привычка читать · полезные привычки · хорошие привычки · здоровые привычки
planirovanie-celey,"Планирование целей: как ставить так, чтобы делать",28619,планирование целей · планирование времени · цели достижение планирование · определение целей планирования
kak-izbavitsya-ot-vrednoy-privychki,Как избавиться от вредной привычки без насилия над собой,21761,плохие привычки · как избавиться от привычки · привычка ненавидеть · странные привычки · пагубная привычка · здоровью вредные привычки · заменить привычку · привычка сбегать · почему вредные привычки вредные
kak-ponyat-chego-hochesh,"Как понять, чего ты хочешь на самом деле",16250,как понять чего ты хочешь · предназначение по рождению · твое призвание · как найти свое предназначение
kak-poborot-len,Как побороть лень: что за ней прячется,4448,почему леня · как побороть лень
metod-pomodoro,Метод помидора: работает ли он на самом деле,3018,помодоро таймер · помодоро техник
samodisciplina,Самодисциплина: как договориться с собой,1044,самодисциплина за
