годна,заголовок,slug,категория,cta,частота,ключи,причина_отказа
да,Причины истерик у ребёнка: что на самом деле за криком,prichiny-isterik-u-rebenka,Детская психология,/artterapy,465,причины истерик у ребенка · истерики без причины у ребенка · беспричинная истерика у ребенка · причины истерик у детей 2 лет · причина истерик у ребенка 3 года · истерика у ребенка 2 года без причины · причины ночных истерик у ребенка · истерика у ребенка причины что делать · кризис 3 лет истерики,"ОСТАВЛЕНА. Три существующие статьи режут тему по возрасту (isterika-u-rebenka — 2–3 года и что делать в моменте; isteriki-u-rebenka-v-god — год; isteriki-u-detey-4 — после трёх) и все отвечают на «что делать». Ни одна не даёт таксономию причин поперёк возрастов. Новая статья — только «почему»: незрелость торможения и нет слов для чувства, отказ в автономии, сенсорная и социальная перегрузка, усталость/голод/недосып, непоследовательность взрослых, напряжение между родителями, разбор мифа «истерика ради выгоды» и что такое «истерика без причины» на самом деле. Что делать в моменте — не дублировать, ссылкой на isterika-u-rebenka. Корпус уже держит отдельные страницы «причины X» (prichiny-vygoraniya, prichiny-revnosti, prichiny-bullinga, prichiny-depressii), для истерик такой страницы нет."
да,Упражнения психотерапии: что подходит под ваше состояние,uprazhneniya-psihoterapii,Психология,/praktik,340,упражнения психотерапии · техника психотерапии · техники психотерапии · методики психотерапии · способы психотерапии · инструменты психотерапии · психотерапия практика · психотерапия техники методы · техники психотерапии в работе · поведенческие техники психотерапии · упражнения на саморегуляцию · упражнения на рефлексию,"ОСТАВЛЕНА. Голова кластера («техника психотерапии» 1722) в корпусе не занята: tehniki-kognitivnoy-psihoterapii — только КПТ, geshtalt-tehniki — только гештальт, tehniki-art-terapii — только арт, vidy-psihoterapii — про выбор направления и без единого упражнения. Новая статья — маршрутизатор: не список техник, а подбор упражнения под состояние (кручу мысли → дневник мыслей; злюсь и не могу сказать → пустой стул; не понимаю, что чувствую → телесное и образное; себя грызу → письмо себе), плюс то, чего нет нигде: как часто делать, что значит «упражнение подняло слишком много», какие практики работают только с терапевтом. Ключи КПТ и арт-терапии намеренно не берём — они закреплены за существующими статьями."
да,Тревожность при беременности: почему накрывает и что помогает,trevozhnost-pri-beremennosti,Психология,/artterapy,303,тревожность при беременности · тревожность во время беременности · тревожность у беременных · тревожная беременность · тревожная беременная · панические атаки при беременности · панические атаки во время беременности · как справиться с тревогой при беременности · как справиться с тревогой во время беременности · перепады настроения при беременности · чувство вины беременность,"ОСТАВЛЕНА. Незакрытая ниша: в 575 статьях про беременность нет ничего, кроме depressiya-posle-rodov (послеродовое) и snitsya-beremennost (сны). Общие статьи про тревогу (kak-spravitsya-s-trevogoy, prichiny-trevozhnosti, povyshennaya-trevozhnost-u-vzroslyh) не касаются этого периода. ЖЁСТКИЕ РАМКИ: без медицины вообще — ни триместров как стадий, ни гормонов, ни симптомов, ни «когда это норма». Только про переживание: страх за ребёнка и проверка симптомов в поиске, страх родов, «стану плохой матерью», чужие советы и чужие страшные истории, вина за то, что не сияешь от счастья, тревога после прошлой потери, как просить о помощи у партнёра. Заземление и дыхание — как самопомощь, не как лечение. Обязателен раздел «когда нужна помощь специалиста» с прямой рекомендацией обсудить состояние с врачом, ведущим беременность, и телефон 8-800-2000-122. Не заходить на территорию запланированной статьи depressiya-pri-beremennosti (2026-10-03) — депрессивные ключи не брать."
нет,Бессознательное простыми словами,bessoznatelnaya-opredelenie,,,525,,"ДУБЛЬ. Закрыта статьёй bessoznatelnoe-sostoyanie-cheloveka.md (категория «Словарь», раздел «Что такое бессознательное в психологии человека», в description дословно «бессознательное в психологии человека простыми словами»). Плюс kollektivnoe-bessoznatelnoe.md на юнгианскую часть. Отдельная словарная карточка на тот же термин будет каннибализировать полную статью."
нет,Как вывести человека из депрессии,kak-vyvesti-cheloveka-iz-depressii,,,464,,"ДУБЛЬ, точное совпадение. У существующей статьи depressiya-sostoyanie-cheloveka.md в frontmatter стоит primaryKeyword «как вывести человека из депрессии», заголовок «Как помочь близкому в депрессии и не выгореть самой», внутри разделы «Почему „вывести“ — не ваша задача», «Когда ждать нельзя», «Что делать со своим бессилием». Тема уже вытянута без диагностики и лечения. Вторая статья съест первую."
нет,Созависимость простыми словами,sozavisimost-prostymi-slovami,,,463,,"ДУБЛЬ. Закрыта статьёй sozavisimost.md — первый же раздел называется «Что такое созависимость простыми словами», description начинается с «Что такое созависимость и эмоциональная зависимость простыми словами». Есть и соседи: emocionalnaya-zavisimost.md, simbioz-v-otnosheniyah.md, slovar-simbioz.md."
нет,Руминация простыми словами,ruminaciya-prostymi-slovami,,,427,,"ДУБЛЬ, точное совпадение. slovar-ruminaciya.md, primaryKeyword «руминация это простыми словами», title «Руминация простыми словами». Соседи на тот же смысл: navyazchivye-mysli.md, kak-izbavitsya-ot-trevozhnosti-i-navyazchivyh-mysley.md."
нет,Стоит ли продолжать эти отношения,stoit-li-prodolzhat-otnosheniya-s-muzhchinoy,,,421,,"ДУБЛЬ. prodolzhat-li-otnosheniya-s-muzhchinoy.md, primaryKeyword «продолжать ли отношения с мужчиной», раздел «Частые вопросы про то, стоит ли продолжать отношения» — то есть формулировка из этой темы уже отработана внутри. Рядом stoit-li-razvoditsya.md и kak-vyyti-iz-otnosheniy-s-muzhchinoy.md."
нет,Причины привязанности,prichiny-privyazannosti,,,389,,"ДУБЛЬ. Формирование привязанности разобрано в tipy-privyazannosti.md (раздел «Как формируется тип привязанности») и teoriya-privyazannosti.md («Внутренняя рабочая модель: как детство доходит до взрослой любви», Боулби, Эйнсворт). Отдельно у детей — privyazannosti-rebenka.md, отдельно про сбой формирования — travma-privyazannosti.md. Кластер из 20 статей, свободной грани нет."
нет,Зависть простыми словами,zavist-prostymi-slovami,,,365,,"ДУБЛЬ, точное совпадение. slovar-zavist.md, primaryKeyword «зависть это простыми словами». Кластер закрыт полностью: chernaya-i-belaya-zavist.md, chuzhaya-zavist.md, kak-spravitsya-s-zavistyu.md."
