годна,заголовок,slug,категория,cta,частота,ключи,причина_отказа
да,Цифровой детокс: как устроить себе день без телефона,cifrovoy-detoks,Самопознание,/online,4103,цифровой детокс (3357) · день цифрового детокса (241) · как провести цифровой детокс (200) · цифровой детокс это что такое простыми словами (199) · как сделать цифровой детокс (46) · как устраивать цифровой детокс (29) · цифровой детокс на выходные (19) · правила цифрового детокса (12),
да,Кибербуллинг: что это такое и чем отличается от буллинга,kiberbulling-chto-eto-takoe,Словарь,/artterapy,8941,что такое кибербуллинг (3492) · признаки кибербуллинга (2719) · виды кибербуллинга (700) · кибербуллинг это простыми словами (634) · формы кибербуллинга (605) · последствия кибербуллинга (407) · кибербуллинг в социальных сетях (327) · как распознать кибербуллинг (57),
да,"Зависть коллег: что делать, если завидуют на работе",zavist-kolleg,Отношения,/coach,4910,зависть на работе (1453) · зависть коллег (1238) · зависть коллег на работе (771) · зависть бывших коллег (706) · зависть успеху (641) · зависть успехам других (101),
да,Бывшая поставила лайк: что это значит на самом деле,byvshaya-postavila-layk,Отношения,/artterapy,7952,бывшая поставила лайки (2465) · бывшая поставила лайк (2063) · ставлю бывшей лайки (1918) · бывший снял лайки (1506),
да,Хейт в соцсетях: как реагировать на злые комментарии,hejt-v-socsetyah,Психология,/artterapy,1623,комментарии хейта (210) · как ответить на хейт (184) · столкнуться с хейтом (158) · против хейта (149) · как реагировать на хейт (147) · хейт в интернете (145) · ответ на хейт (135) · хейт в соцсетях (135) · реакция на хейт (113) · хейт в сети (107) · как справиться с хейтом (98) · как реагировать на хейт в соцсетях (21) · как бороться с хейтом (21),
да,Хейт: что это такое простыми словами и откуда берётся,slovar-hejt,Словарь,/artterapy,922,что такое хейт простыми словами (278) · что значит хейт (185) · причина хейта (158) · хейт хейтер (132) · хейт буллинг (99) · хейт что это значит простыми словами (42) · что такое хейт в молодежном сленге (20) · чем отличается хейт от буллинга (8),
нет,"Сид «сравнение» целиком — 2000 фраз, 26,46 млн показов",,,,,,"Проверка правила подтвердилась: омоним съел сид. Верх — сравнение видеокарт, айфонов, процессоров, чисел, цен, банков, степени сравнения прилагательных, литературный троп. Нашего интента 8 фраз из 2000 (0,4%) и 97 613 показов (0,37%), а строго наших — три фразы, 0,27%. Все три уже закрыты: «сравнение с другими людьми» → kak-perestat-sravnivat-sebya, «сравнения детей» → детский кластер."
нет,"Сид «лайки» целиком, кроме лайков от бывших",,,,,,"Слово занято чужими именами: порода собак лайка, приложение Likee («лайк»), блогер Настя Лайк, Лайк Займ, кофейня, ФМ-радио, школьная форма «Лайк». Психологии лайков (зависимость от одобрения, самооценка через лайки) в сборе нет вовсе: ноль фраз. Наш интент — 0,07% показов сида."
нет,"Сид «инфоцыгане» — 176 фраз, 7562 в голове",,,,,,"Спрос целиком персональный и новостной: списки, «кого посадили», Блиновская, Аяз, Портнягин, Гребенюк, интервью Собчак, сериал и камеди. Нашего интента («как работают», «что продают», «как не попасть») меньше 150 показов на весь сид. Писать по фамилиям нельзя, нейтральный заголовок спрос не соберёт."
нет,Сид «идеальная картинка» — 75 фраз,,,,,,"Картиночный поиск (голова «идеальные картинки» 4075), сериал «Эльбрус. Идеальная картинка», песня «Пусть картинка не идеальная» и порно. Фраз про витрину в соцсетях — одна, «выглядит как идеальная картинка» (42). Тема витрины уже закрыта статьёй socseti-i-samoocenka."
нет,Зависимость от телефона — весь сид,,,,,,"Занято: zavisimost-ot-telefona (primaryKeyword «зависимость от телефона», голова 6120). Хвост распадается на детско-подростковую часть (занята rebenok-sidit-v-telefone и proveryat-li-telefon-rebenka) и лечебно-диагностическую («лечение», «симптомы», «тест», «болезнь») — запрещена правилом про диагностику."
нет,"Кибербуллинг: «что делать», «как защититься», «как не стать жертвой»",,,,,,"Дубль с bulling-v-internete («Травля в интернете: как пережить и что можно сделать») — там и порядок действий, и скриншоты, и восстановление. Свободна только словарная часть, её и беру отдельной строкой."
нет,"Кибербуллинг: профилактика, классный час, проект, презентация, памятка",,,,,,"Методический спрос педагогов (842 + 327 + 96 + 70 + 63 …): планы мероприятий, буклеты, разговоры о важном. Чужая аудитория, статьёй в женский блог не закрывается."
нет,"Кибербуллинг: статья УК, срок, наказание, приговор",,,,,,"Юриспруденция и новостной сюжет («в России впервые дали срок», дело Шалимова, девочка из Уфы). Чужая тема по правилу 2."
нет,Зависть подруги,,,,,,"Занято podruga-zaviduet-mne (primaryKeyword «подруга завидует»): там и признаки, и «радуется моим неудачам», и вина за успех."
нет,Зависть сестры и братьев (825 + 562),,,,,,"Отдаю в соседнюю партию 45-siblingi: сиды «отношения с сестрой», «отношения с братом», «ревность детей» — её материал, иначе получим два конкурирующих текста в один день."
нет,"Признаки зависти, как понять, что тебе завидуют",,,,,,Занято chuzhaya-zavist — раздел «Признаки зависти у людей: что видно со стороны» плюс граница с мнительностью.
нет,Чёрная и белая зависть; сильная зависть; зависть простыми словами,,,,,,"Три готовые статьи: chernaya-i-belaya-zavist, kak-spravitsya-s-zavistyu, slovar-zavist. Плюс kak-perestat-zavidovat на «как перестать»."
нет,"Зависть: защита, молитва, дуа, сглаз, порча, оберег, став",,,,,,"Крупный блок сида (молитвы и дуа от сглаза и зависти — десятки тысяч показов). Падает на эзо-фильтре сборки, правило №2 HANDOFF."
нет,"Зависть: сериал, фильм «Зависть богов», Олеша, песни",,,,,,"Больше половины показов сида: турецкий сериал «Зависть» (42 582 в голове жанра), фильм 2000 года, роман Олеши, треки. Правило 10 — голова с чужим именем."
нет,"«Зависть 1», «зависть 2» … «зависть 32»",,,,,,Ровный ряд чисел с плавным затуханием — артефакт склейки с номерами серий сериала. Правило 9.
нет,«Как зависть подруги разрушила её жизнь» и подобные,,,,,,"Заголовки дзен-рассказов (171, 112, 104, 103, 94): законченное предложение с глаголом прошедшего времени. Правило 8 — человек ищет продолжение истории."
нет,Муж завидует жене; зависть в паре,,,,,,"Тема живая и корпусом не закрыта, но опоры нет: только размытые леммы «зависть мужу» (535), «зависть жены» (612), «зависть отношениям» (695), каждая из которых может собирать что угодно. Без отдельного сбора по фразам («муж завидует моим успехам») не беру."
нет,Мать завидует дочери,,,,,,То же самое: «зависть матери» (598) и «зависть мамы» (230) — леммы без единой живой формулировки от первого лица. Возвращаться с прицельным сидом.
