phrase,frequency,cluster,seed,category
негативно,495518,C_relationships,Личные границы,Другое
гнев,493695,B_emotions,Как справиться с тревогой,Гнев / агрессия
сдвг,490077,A_psycho_tests,Тест на личность,Детская психология
результаты анализов,486585,B_emotions,Как справиться с тревогой,Другое
тревожный,485727,B_emotions,Как справиться с тревогой,Тревога / тревожность
апатиты,485412,B_emotions,Как справиться с тревогой,Другое
все будет хорошо,482474,B_emotions,Как справиться с тревогой,Другое
бессонница,478104,B_emotions,Как справиться с тревогой,Другое
надя,472210,B_emotions,Как справиться с тревогой,Другое
банк это,464735,C_relationships,Личные границы,Другое
тип личности,461296,B_emotions,Как справиться с тревогой,Тест MBTI / типология
стыд,461111,B_emotions,Как справиться с тревогой,Стыд / вина
ее парень,460227,B_emotions,Как справиться с тревогой,Другое
скучно,453956,B_emotions,Как справиться с тревогой,Другое
темперамент,453128,B_emotions,Как справиться с тревогой,Психотипы / темперамент
система органов,450567,G_therapy_practices,Майндфулнес,Другое
добросовестность,443398,B_emotions,Как справиться с тревогой,Другое
другая жизнь,426548,B_emotions,Как справиться с тревогой,Другое
жизнь других,426536,B_emotions,Как справиться с тревогой,Другое
типы личности,419459,B_emotions,Как справиться с тревогой,Другое
мотивация,416985,D_self_knowledge,поиск смысла,Другое
mac m,416037,F_mak_art_ai,похожие,Другое
ненависть,413938,B_emotions,Как справиться с тревогой,Другое
критики,412030,B_emotions,Как справиться с тревогой,Другое
женская консультация,403187,B_emotions,Как справиться с тревогой,Другое
суета,384325,D_self_knowledge,поиск смысла,Другое
характер это,383729,B_emotions,Как справиться с тревогой,Другое
на войне как на войне,372440,B_emotions,Как справиться с тревогой,Другое
взаимоотношения,366975,C_relationships,Личные границы,Другое
той ночью,365828,B_emotions,Как справиться с тревогой,Другое
что означает имя,365270,D_self_knowledge,поиск смысла,Другое
методические рекомендации,363336,G_therapy_practices,Майндфулнес,Другое
рекомендуется,358657,B_emotions,Как справиться с тревогой,Другое
игрушечный,355965,B_emotions,Как справиться с тревогой,Другое
