phrase,frequency,seed
"апатия",123661,"апатия"
"апатия",123661,"апатия"
"слово апатия",5511,"апатия"
"апатия какая",4232,"апатия"
"холод и апатия",3959,"апатия"
"апатия и депрессия",3851,"апатия"
"апатия после",3054,"апатия"
"апатия ли",2931,"апатия"
"апатия песня",2911,"апатия"
"апатия это простыми",2877,"апатия"
"состояние апатии",2670,"апатия"
"усталость апатия",2609,"апатия"
"тест на апатию",2596,"апатия"
"апатия это простыми словами",2448,"апатия"
"апатия ничего",2305,"апатия"
"признаки апатии",2015,"апатия"
"слабость апатия",1949,"апатия"
"апатия сонливость",1927,"апатия"
"холод и апатия песня",1900,"апатия"
"апатия скачать",1858,"апатия"
"настроение апатия",1759,"апатия"
"апатия женщина",1708,"апатия"
"апатия год",1629,"апатия"
"постоянная апатия",1514,"апатия"
"причины апатии",1512,"апатия"
"сильная апатия",1444,"апатия"
"холод и апатия скачать",1411,"апатия"
"день апатии",1306,"апатия"
"эмоциональная апатия",1209,"апатия"
"апатия ничего не хочется",1169,"апатия"
"апатия симптомы",1148,"апатия"
"скачать песню апатия",1140,"апатия"
"реакция апатии",1124,"апатия"
"тревога апатия",1069,"апатия"
"времена апатия",1057,"апатия"
"лень и апатия",1033,"апатия"
"хочу апатию",1012,"апатия"
"плохая апатия",974,"апатия"
"апатия страх",949,"апатия"
"апатия и выгорание",938,"апатия"
"что такое апатия у человека",931,"апатия"
"полная апатия",879,"апатия"
"скачать песню холод и апатия",872,"апатия"
"апатия текст",848,"апатия"
"отсутствие апатии",844,"апатия"
"как бороться с апатией",821,"апатия"
"2 апатия",821,"апатия"
"как справиться с апатией",788,"апатия"
"апатия тревожность",779,"апатия"
"апатия истерика",779,"апатия"
"без апатии",775,"апатия"
"психологическая апатия",774,"апатия"
"стресс апатия",733,"апатия"
"как избавиться от апатии",732,"апатия"
"что значит апатия",706,"апатия"
"повышенная апатия",671,"апатия"
"часто апатия",669,"апатия"
"как выйти из апатии",668,"апатия"
"чувствую апатию",659,"апатия"
"резкая апатия",658,"апатия"
"нервная апатия",655,"апатия"
"расстройство апатии",648,"апатия"
"3 апатия",628,"апатия"
"упадок сил апатия",620,"апатия"
"апатия форум",618,"апатия"
"апатия прошла",611,"апатия"
"апатия раздражительность",608,"апатия"
"сон апатия",603,"апатия"
"неделя апатии",598,"апатия"
"зараза апатия",580,"апатия"
"зараза холод и апатия",577,"апатия"
"апатия проходит",575,"апатия"
"апатия ступор",575,"апатия"
"грусть апатия",560,"апатия"
"мысли апатия",558,"апатия"
"апатия нежелание",556,"апатия"
"слабость сонливость апатия",554,"апатия"
"началась апатия",551,"апатия"
"эмоциональное выгорание апатия",541,"апатия"
"1 апатия",541,"апатия"
"апатия какие витамины",540,"апатия"
"твой апатия",528,"апатия"
"что такое апатия у человека простыми",519,"апатия"
"апатия потеря",516,"апатия"
"ничего не хочу апатия",515,"апатия"
"белая апатия",498,"апатия"
"усталость сонливость апатия",498,"апатия"
"апатия синоним",493,"апатия"
"апатия месяц",490,"апатия"
"спать апатия",481,"апатия"
"апатия психологическая реакция",480,"апатия"
"головокружения апатия",479,"апатия"
"как называется апатия",477,"апатия"
"апатия к жизни",475,"апатия"
