годна,заголовок,slug,категория,cta,частота,ключи,причина_отказа
да,"Дыхательная техника 4-7-8: как дышать, когда тревожно",dyhatelnaya-tehnika-4-7-8,Психология,/online,81442,дыхательная техника 4 7 · дыхательное упражнение 4 7 · дыхательные упражнения по методике 4 7 · дыхательная практика 4 7 · дыхательная практика метод 4 7 · дыхательная практика 4 · дыхательные практики для успокоения · дыхательные практики · дыхательная практика · дыхательное упражнение · дыхательные упражнения практика,
нет,,dyhatelnaya-7,,,74233,,"склейка лемматизатора; под фразой дыхательная гимнастика — комплексы Вима Хофа и упражнения для детей, это гимнастика, а не наша практика"
нет,,meditaciya-dlya-sna-2,,,43469,,дубль: meditaciya-dlya-sna.md
нет,,meditacii-2,,,21741,,"склейка лемматизатора, темы под фразой нет: файлы, персоналии и эзо в одной куче"
нет,,gia-osoznannost-proforientaciya,,,20266,,склейка лемматизатора (ГИА и профориентация); осознанность закрыта статьёй chto-takoe-osoznannost.md
нет,,meditaciya-iscelenie,,,15577,,"эзотерика и лечение: исцеление органов, «поток творца», персоналии Агеев и Ливанда"
нет,,meditacii-pered,,,12860,,дубль: «медитация перед сном» — lsi статьи meditaciya-dlya-sna.md
нет,,meditaciya-bez-meditacii,,,11480,,"склейка лемматизатора; реальный интент — «без рекламы», то есть файлы"
нет,,meditaciya-dzho,,,11292,,персоналия: Джо Диспенза
нет,,affirmaciya-elena,,,10812,,персоналия (Елена Балацкая) плюс эзо: деньги и богатство
нет,,meditaciya-dlya-uspokoeniya-2,,,10424,,дубль: meditaciya-dlya-uspokoeniya.md
нет,,dlya-meditacii-i-relaksacii,,,10370,,"медиа-интент: видео, онлайн, бесплатно; смысл закрыт meditaciya-dlya-uspokoeniya.md"
да,Утренняя медитация: как начать день без спешки и тревоги,utrennyaya-meditaciya,Медитации,/online,10247,утренняя медитация · утренняя медитация на день · утренние медитации для энергии · медитация утренняя наполнение энергией · утренняя медитация наполнения · утренняя медитация для женщин · медитация утром для женщин,
нет,,affirmaciya-na-dengi,,,9600,,эзотерика: привлечение денег
нет,,affirmacii-dlya-zhenschin,,,9584,,"эзо-ядро: деньги, богатство, исцеление, Луиза Хей; самоподдержку закрывает affirmacii-prostymi-slovami"
нет,,affirmacii-luizy,,,9241,,"персоналия: Луиза Хей, плюс эзо"
нет,,affirmaciya-dnya,,,8602,,"эзо-ядро: удача, изобилие, процветание, денежные аффирмации, персоналии"
нет,,meditaciya-dlya-zhenschin,,,7888,,"не тема, а уточнение: блог и так для женщин; в ключах «женская энергия» и медиа-запросы"
нет,,andreev-meditacii,,,7583,,"персоналии: Андреев, Бобровский, Ракицкий"
