годна,заголовок,slug,категория,cta,частота,ключи,причина_отказа
да,Ничего не успеваю: почему так выходит и что делать,nichego-ne-uspevayu,Психология,/coach,11024,ничего не успеваю (7502) · не успеваю ничего сделать (934) · ничего не успеваю что делать (621) · все успевают а я нет (336) · человек ничего не успевает (405) · много дел ничего не успеваю (150) · почему я ничего не успеваю (141) · совсем ничего не успеваю (138) · постоянно ничего не успеваю (136) · ничего не успеваю в жизни (131) · вообще ничего не успеваю (126) · ничего не успеваю устала (125) · ничего не успеваю помогите (116) · ничего не успеваю за день (93) · кажется что ничего не успеваю (70),
да,Не успеваю жить: как выйти из вечной гонки со временем,ne-uspevayu-zhit,Самопознание,/artterapy,7083,не успеваю за временем (2616) · я не успеваю жить (1569) · не успеваю жить что делать (1062) · не успеваю жить жизнь (625) · не успеваю за миром (381) · не успеваю за изменениями (254) · не успеваю за молодыми (204) · не успеваю за темпом жизни (171) · не успеваем заметить жизнь (75) · не успеваю за событиями (126),
да,"Страх не успеть: что делать, когда время будто уходит",strah-ne-uspet,Психология,/artterapy,4308,время уходит что делать (2036) · чувство уходящего времени (373) · страх не успеть (373) · тревога не успеть (250) · чувствую что время уходит (228) · ощущение уходящего времени (215) · чувство что время уходит (188) · страх уходящего времени (183) · ощущение что время уходит (130) · боюсь не успеть в жизни (84) · боюсь ничего не успеть (77) · страх что время уходит (67) · боюсь упустить время (44) · страх упущенного времени (22) · чувство упущенного времени (38),
да,Ничего не добилась: как жить с этим чувством в 30 и 40,nichego-ne-dobilas,Самопознание,/coach,3554,боюсь ничего не добиться (1386) · лет ничего не добилась (701) · боюсь ничего не добиться в жизни (366) · почему не добиться ничего (364) · ничего не добилась сама (281) · ничего не добившаяся девушка (136) · кажется что ничего не добьюсь (69) · чувство что не добьюсь ничего (66) · 30 лет ничего не добилась (60) · в 30 ничего не добилась (49) · почему не могу ничего добиться в жизни (24) · 35 лет ничего не добилась (17) · ощущение что ничего не добилась (15) · я ничего не добилась в 25 лет (13) · в 23 ничего не добилась (7),
да,Не хочу ничего добиваться: усталость от гонки за успехом,ne-hochu-nichego-dobivatsya,Психология,/coach,2401,не хочу ничего добиваться (1527) · не хочу ничего добиваться в жизни (412) · не надо ничего добиваться (239) · выбрал ничего не добиваться (93) · почему люди ничего не добиваются (71) · не хочется ничего добиваться (59),
да,Поздно ли начинать заново: как перестать бояться опоздать,pozdno-li-nachinat,Самопознание,/coach,7663,поздно ли начать (3802) · поздно все с начала начать (945) · никогда не поздно начать (797) · поздно начинать сначала (621) · слишком поздно начинать (501) · никогда не поздно начинать сначала (228) · поздно начинать новую жизнь (222) · уже поздно что то менять (126) · никогда не поздно начать жизнь (97) · не поздно начинать заново (68) · начинать жить никогда не поздно (51) · в 30 лет не поздно начать (47) · в 40 лет поздно начинать (45) · в каком возрасте поздно начинать (45) · всегда не поздно начать (45) · поздно ли начинать в 25 (23),
да,Жизнь проходит мимо: откуда это чувство и что с ним делать,zhizn-prohodit-mimo,Самопознание,/artterapy,608,жизнь будто проходит мимо (93) · кажется жизнь проходит мимо (72) · ощущение что жизнь прошла мимо (67) · работа жизнь проходит мимо (59) · почему жизнь проходит мимо (52) · жизнь прошла мимо почему (52) · боюсь что жизнь проходит мимо (48) · жизнь проходит мимо что делать (41) · жизнь прошла мимо что делать (41) · тупо жизнь проходит мимо (41) · чувство что жизнь прошла мимо (30) · почему кажется что жизнь проходит мимо (12),
да,Боюсь не успеть родить: как жить с тревогой о времени,boyus-ne-uspet-rodit,Психология,/artterapy,1437,не успеваю родить (952) · не успеет выйти замуж (301) · не успеть родить ребенка (184),
нет,Не успела (сид целиком как тема),,,,,,2000 фраз сида — бытовое «не успел сделать/забрать/подать/сказать»; топ на 377 709 показов («не успел») смысла не несёт
нет,Упущенное время / синдром упущенных возможностей,,,,,,"голову «упущенное время» (3143) держат фильм и сериал 2020 и «сказка об упущенном времени»; чистый хвост ~360 показов, уходит разделом в strah-ne-uspet"
нет,Завидую молодым,,,,,,"525 показов на весь сид, из них «не завидуйте молодым» (173) — стих; каннибализация с kak-perestat-zavidovat и kak-perestat-sravnivat-sebya"
нет,Поздно менять профессию / начинать карьеру,,,,,,"каннибализация со strashno-menyat-professiyu («страшно менять профессию», 35–45) и smena-professii-vzroslym; плюс хвост забит футболистами и актёрами"
нет,Поздно начинать отношения,,,,,,"«поздно начинать отношения» (552) и «поздно начал встречаться» (311) — про первые отношения в 20, гендерно-нейтральные; пересекается с boyus-ostatsya-odna и ne-umeyu-znakomitsya"
нет,Время уходит (сид целиком как тема),,,,,,"1040 фраз, но 279 из них — «сколько времени уходит на X» (нормативы и тайм-менеджмент), плюс больничный, декрет, отпуск и песни"
нет,Поздно начал ходить / говорить,,,,,,"127 фраз про развитие речи и моторики у детей — детская клиника, запрещена правилом отбора №2"
нет,Поздно начал заниматься спортом,,,,,,"61 фраза про футбол, бокс, ММА и фигурное катание — чужая тема"
нет,Жизнь прошла мимо (фильм 1958/1959),,,,,,"«жизнь прошла мимо фильм 1959» (269), актёры, «смотреть онлайн» — киноинтент, забирает часть головы у zhizn-prohodit-mimo"
нет,Че то типа жизнь проходит мимо,,,,,,мем и трек: 835 + 708 + 344 + 325 показов на вариантах написания — музыкальный интент
нет,Боюсь однажды не успеть,,,,,,"песня gut1k: «боюсь однажды не успеть» (522), «скачать» (257), «песня» (241) — не переживание, а поиск трека"
нет,Не успел (18+ и туалет),,,,,,"342 фразы: «не успел вытащить», «не успела в туалет» и порнозапросы — 202 240 показов мусора"
нет,Не успел подать / оплатить / поставить на учёт,,,,,,"139 фраз про юридические и бытовые сроки: заявление, билет, страховка, паспорт, наследство"
нет,Ничего не добился (мужская и новостная форма),,,,,,"«наша армия ничего не добилась» (159), «путин ничего не добился» (70), «кто ничего не добился 5 букв сканворд» (14) — новости и кроссворд"
нет,Ничего не успеваю с ребёнком / по дому,,,,,,«ничего не успеваю с ребенком» (182) и «ничего не успеваю по дому» (162) — покрыто статьями ustala-ot-byta и roditelskoe-vygoranie
нет,Уже поздно менять (сид),,,,,,"128 показов на весь сид, из них 2 — «ошибся дыркой но уже поздно ее менять»; «уже поздно что то менять» (126) уходит в pozdno-li-nachinat"
нет,Все успели а я нет (сид),,,,,,одна фраза «все успевают а я нет» (336) — поглощается статьёй nichego-ne-uspevayu
нет,Не так представляла жизнь (сид),,,,,,0 фраз — Вордстат не отдал ничего
нет,Как всё успевать и не уставать,,,,,,"«как все успевать и не уставать» (311) — тайм-менеджмент и продуктивность, не наш интент; ближайшее по смыслу закрывает nichego-ne-uspevayu"
нет,"Никогда не поздно начать (песня, Барыкин)",,,,,,"«никогда не поздно начать песня» (129), «барыкин никогда не поздно новый путь начинать» (41) — музыкальный хвост внутри годного кластера"
нет,Поздно начала пить дюфастон,,,,,,"медицинский запрос, правило отбора №2 — диагностика и лечение не берём"
нет,Позднее начало половой жизни,,,,,,"«позднее начало половой жизни» (91), «поздно начатая половая жизнь» (80) — медицина и 18+"
нет,"Дракон, ты поздно начнёшь жалеть",,,,,,"серия запросов до 120 показов — название книги, не переживание"
