phrase,frequency,seed
"расщепление",47979,"расщепление"
"расщепление",47979,"расщепление"
"расщепление 1 1 1 1",5320,"расщепление"
"расщепление 2 2",4816,"расщепление"
"расщепление 2 1",4319,"расщепление"
"расщепление 3 1",4093,"расщепление"
"расщепление 3 2",3908,"расщепление"
"расщепление 3 2 2 1",3796,"расщепление"
"каком расщеплениями",3506,"расщепление"
"расщепление жиров",3436,"расщепление"
"процесс расщепления",3220,"расщепление"
"расщепление 4 1",3186,"расщепление"
"расщепление 4 3 1",3103,"расщепление"
"расщепление 4 2 2 1",3094,"расщепление"
"расщепление белков",2923,"расщепление"
"расщепление белка",2869,"расщепление"
"расщепление при прл",2793,"расщепление"
"расщепление происходит",2452,"расщепление"
"расщепление личности",2408,"расщепление"
"расщепление организма",2338,"расщепление"
"расщепление 5 3",2206,"расщепление"
"расщепление глюкозы",2187,"расщепление"
"расщепление 5 3 2 1",2130,"расщепление"
"расщепление жировых",2113,"расщепление"
"расщепление вещества",1812,"расщепление"
"расщепление признаков",1625,"расщепление"
"расщепление клеток",1590,"расщепление"
"фермент для расщепления",1530,"расщепление"
"расщепление молекул",1524,"расщепление"
"расщепление под",1480,"расщепление"
"расщепление пищи",1459,"расщепление"
"расщепление углеводов",1446,"расщепление"
"расщепление воды",1425,"расщепление"
"расщепление в психологии",1399,"расщепление"
"последовательность процессов расщепления",1271,"расщепление"
"суть расщепления",1208,"расщепление"
"расщепление всасывание",1197,"расщепление"
"расщепление фенотипов",1187,"расщепление"
"расщепление атф",1180,"расщепление"
"установите последовательность процессов расщепления",1170,"расщепление"
"процесс расщепления глюкозы",1170,"расщепление"
"таблица расщепления",1162,"расщепление"
"расщепления при скрещивании",1150,"расщепление"
"расщепление 6",1124,"расщепление"
"расщепление голоса",1104,"расщепление"
"расщепление потомства",1033,"расщепление"
"расщепление крахмала",1021,"расщепление"
"расщепление энергии",1020,"расщепление"
"расщепление в организме человека",964,"расщепление"
"расщепление органических",937,"расщепление"
"расщепления кишечника",921,"расщепление"
