годна,заголовок,slug,категория,cta,частота,ключи,причина_отказа
да,Как пережить предательство близкого человека и жить дальше,kak-perezhit-predatelstvo,Психология,/artterapy,13999,как пережить предательство (2343) · предательство близких (2383) · чувство предательства (1160) · жизнь после предательства (1118) · как простить предательство (733) · предательство что делать (627) · предательство как жить (625) · как справиться с предательством (556) · как пережить предательство мужа (498) · можно ли простить предательство (466) · обида предательство (421) · боюсь предательства (618) · как пережить предательство любимого (296) · отпустить предательство (282) · как жить после предательства (250) · как пережить предательство близкого (213) · как пережить предательство любимого человека (197) · как пережить предательство близкого человека (189) · предательство как жить дальше (186) · прощать ли предательство (838),
да,Доверие в отношениях: из чего складывается и как рушится,doverie-v-otnosheniyah,Отношения,/artterapy,39182,доверие в отношениях (8181) · доверие уважение (5742) · взаимное доверие (3630) · доверие и любовь (3084) · доверие мужчине (2506) · доверие любимому (1991) · доверие в семье (1888) · отношения основанные на доверии (1886) · отношения на доверии и уважении (1650) · эмоциональное доверие (1444) · доверие партнеров (1425) · отношения основаны на уважении доверии (1390) · доверие честность (1125) · доверие близким людям (1200) · вопросы на доверие в отношениях (654) · близкие отношения на доверии (570) · трудности с доверием в отношениях (435) · доверие любимому человеку (381),
да,Предательство без измены: когда партнёр предал иначе,predatelstvo-bez-izmeny,Отношения,/artterapy,3459,предательство без измены (1570) · молчание предательство (364) · предательство в браке (285) · эмоциональное предательство (230) · предательство отношениях женщины (197) · предательство партнеров (182) · что такое предательство в отношениях (181) · отношения после предательства (450),
да,Проверять ли телефон ребёнка: где проходит граница,proveryat-li-telefon-rebenka,Детская психология,/artterapy,4343,родители проверяют телефон (827) · проверяете ли телефоны детей (612) · мама проверяет телефон (593) · как проверить телефон ребенка (402) · родители проверяют телефон ребенка (379) · проверить телефон подростка (208) · имеют ли право проверять телефон ребенка (194) · имеют ли право родители проверять телефон (147) · родители имеют право проверять телефон ребенка (134) · имеют ли родители проверять телефон ребенка (129) · имеет ли право родитель проверять телефон ребенка (123) · можно проверять телефон ребенка (119) · проверять ли телефон подростка (106) · что делать если родители проверяют телефон (71) · что делать если мама проверяет телефон (70) · проверила телефон дочери (63) · мама проверяет телефон ребенка (60) · может ли родитель проверить телефон ребенка (54) · можно ли проверять телефон ребенка (52),
да,Ребёнок врёт: почему дети обманывают и как реагировать,rebenok-vret,Детская психология,/artterapy,1343,вранье детей (813) · вранье сына (154) · детское вранье (143) · про вранье ребенка (119) · как наказать ребенка за вранье (52) · как отучить ребенка от вранья (25) · наказание за вранье ребенка (17) · как бороться с враньем ребенка (12) · вранье детей рассказы (8),
да,"Ложь во благо: бывает ли враньё, которое не разрушает",lozh-vo-blago,Психология,/artterapy,1591,ложь во благо (1506) · вранье во благо (48) · нужно ли вранье (31) · вранье во спасение (6),
нет,Сид «доверие» целиком,,,,,,"Телеканал «Москва Доверие»: 447 фраз, 3,52 млн показов — программа передач, эфир, «доверие сегодня». Гипотеза про доверенность не подтвердилась: фраз с «доверенность/нотариус» в файле ноль."
нет,Сид «скрывает» целиком,,,,,,"Лемма «скрыть/скрытый»: 1 157 фраз порно и «скрытая камера» + 77 фраз стройки (двери скрытого монтажа, проводка, плинтус, скрытые работы). Психологического интента нет."
нет,Сид «предательство» — верх выдачи,,,,,,"Сериал «В тени предательства» (2026) и самиздат-романы («Развод. Боль предательства», «После предательства сын полковника»). В киногруппу по всем сидам ушло 4 218 фраз."
нет,Сид «подозрения» целиком,,,,,,"Медицина: «подозрение на перелом/рак/гепатит/травму позвоночника», анализы, пострадавший. 647 фраз. Плюс юридическое «подозреваемый, задержан по подозрению»."
нет,Сид «проверять телефон» — техника,,,,,,"Баланс, IMEI, МТС/Билайн, вирусы, прослушка, шпионские программы, спидтест. 993 фразы. Партнёрский интент оказался хвостом на ~1,6 тыс. показов."
нет,Сид «обман» целиком,,,,,,"«Заработок без обмана», «деньги без вложений и обмана», роблокс, мошенничество. 425 фраз. Плюс мем «розовая пора моей школьной жизни — сплошной обман»."
нет,Сид «ложь» — верх выдачи,,,,,,"Сериалы «Большая маленькая ложь», «Тайны и ложь», дорама «Ложь»; грамматика «ложить или класть»; школьное «сказка ложь да в ней намёк»."
нет,Сид «вранье» — верх выдачи,,,,,,"Политика и новости: «новости без вранья и пропаганды», «вранье пропаганды», «что происходит в России без вранья». 316 фраз в политгруппе."
нет,"Детектор лжи, полиграф",,,,,,"45 фраз. Не наша тема: приборы и услуги проверки, а не переживание."
нет,Патологическая ложь,,,,,,"Весь сид — диагностика: симптомы, лечение, «психическое заболевание или нет», диагноз. Правило 2 правил отбора: диагностику не берём."
нет,Проверять ли телефон мужа,,,,,,"Дубль: есть chitat-li-perepisku-muzha («Читать ли переписку мужа»). Остальное в кусте — техническое «как проверить», то есть инструкция по слежке."
нет,Виды лжи · причины лжи · психология лжи,,,,,,"Дубль: есть pochemu-lyudi-vrut, у него «причины лжи» в lsi. Голова «психология лжи» 4 179 — книга Пола Экмана (правило 6: чужое имя)."
нет,Ложь в отношениях · обман в отношениях,,,,,,"Дубль: в корпусе уже восемь статей про ложь в паре (pochemu-lyudi-vrut, muzh-postoyanno-vret, vru-muzhu-po-melocham, kak-ponyat-chto-chelovek-vret, kak-vernut-doverie, ne-mogu-doveryat, muzh-chto-to-skryvaet, chitat-li-perepisku-muzha). Общий хаб съест их трафик."
нет,Предательство друга · предательство подруги,,,,,,"Дубль с predala-podruga («Предала подруга»), toksichnaya-druzhba, odnostoronnyaya-druzhba. 9,4 тыс. показов, но интент тот же."
нет,"Предательство родных: мать, отец, брат, сестра",,,,,,"Головы без хвоста: «предательство матери» 1 057, «предательство отца» 1 071, «предательство брата» 1 152 — у каждой ноль продолжений. Правило 2: не куст, а сумма."
нет,Поймала на лжи · уличить во лжи,,,,,,"Дубль с kak-ponyat-chto-chelovek-vret и muzh-postoyanno-vret. Чистых фраз ~1,9 тыс., отдельной статьи не держат."
нет,Подозрения в отношениях · подозреваю измену,,,,,,"Дубль: пять статей про ревность (prichiny-revnosti, priznaki-revnosti, kak-spravitsya-s-revnostyu, revnivyy-muzhchina, test-revnost) плюс muzh-chto-to-skryvaet."
нет,Тест на доверие,,,,,,"Хвост головы — «с диаграммой», «с диаграммой круговой», «читать»: это книга или школьный опросник, а не психологический запрос. Плюс все тесты корпуса ведут на /cards, а он вне списка разрешённых CTA."
нет,Ложь во спасение,,,,,,"Голова 8 927, но все девять продолжений киношные: «фильм», «2014», «невский», «смотреть онлайн». Правило 6 — считать по хвосту, хвоста нет."
нет,Страх предательства,,,,,,Всего две фразы: «боюсь предательства» 618 и её же обрезок 260. Ключ отдан статье про переживание предательства.
нет,Муж скрывает деньги · тайные траты,,,,,,"Сбор не дал ни одной фразы: «скрыл деньги» 12 287 и «скрытые деньги» 12 285 — лемма сида «скрывает», про тайники и наличные, не про пару."
нет,Скрытые чувства · скрытые отношения · мужчины скрывают,,,,,,Голые головы без единого продолжения (11 035 / 7 085 / 20 633). Правило 2: обрезанная фраза с большой частотой — не куст.
нет,Телефон доверия · детский телефон доверия,,,,,,"Служба психологической помощи, а не тема статьи. 8 324 показов у «детский телефон доверия» — люди ищут номер."
нет,Утрата доверия,,,,,,"Трудовое право и антикоррупция: увольнение в связи с утратой доверия, реестр уволенных, ТК РФ. 15 090 показов у головы, весь хвост юридический."
