phrase,frequency,seed
"как прожить эмоцию",1024,"как прожить эмоцию"
"как проживать эмоции",1024,"как прожить эмоцию"
"как правильно проживать эмоции",134,"как прожить эмоцию"
"как человек проживает эмоции",80,"как прожить эмоцию"
"как научиться проживать эмоции",78,"как прожить эмоцию"
"как прожить чувства и эмоции",78,"как прожить эмоцию"
"как прожить негативную эмоцию",66,"как прожить эмоцию"
"как прожить подавленные эмоции",47,"как прожить эмоцию"
"как экологично проживать эмоции",43,"как прожить эмоцию"
"как проживать эмоции ребенку",34,"как прожить эмоцию"
"как прожить эмоции до конца",28,"как прожить эмоцию"
"как тело прожить эмоции",27,"как прожить эмоцию"
"как прожить эмоцию и отпустить",26,"как прожить эмоцию"
"как прожить эмоцию злости",23,"как прожить эмоцию"
"как проживать негативные эмоции экологично",22,"как прожить эмоцию"
"как прожить эмоцию страха",19,"как прожить эмоцию"
"как прожить непрожитые эмоции",18,"как прожить эмоцию"
"как проживать эмоции психология",17,"как прожить эмоцию"
"как прожить эмоции до конца и отпустить",17,"как прожить эмоцию"
"как помочь прожить эмоции",16,"как прожить эмоцию"
"как проживать эмоции и чувства упражнения",13,"как прожить эмоцию"
"как понять прожить эмоцию",13,"как прожить эмоцию"
"как научиться проживать свои эмоции и чувства",12,"как прожить эмоцию"
"как самой проживать эмоции",10,"как прожить эмоцию"
"как правильно проживать негативные эмоции",8,"как прожить эмоцию"
"как проживать эмоции правильно книги",6,"как прожить эмоцию"
"как снова начать чувствовать и проживать эмоции",6,"как прожить эмоцию"
"как правильно проживать эмоции и чувства",5,"как прожить эмоцию"
"как экологично проживать негативные эмоции книга",5,"как прожить эмоцию"
"как прожить эмоцию обиды",4,"как прожить эмоцию"
