годна,заголовок,slug,категория,cta,частота,ключи,причина_отказа
да,Не могу выбросить вещи: почему жалко и как расстаться,ne-mogu-vybrosit-veshchi,Психология,/coach,2359,начало расхламления (464) · расхламление вещей (453) · расхламление с чего начать (406) · как избавиться от хлама (339) · мотивация на расхламление (143) · расхламление жизни (140) · расхламление дома с чего начать (113) · мотивация на расхламление и уборку (59) · с чего начать расхламление в квартире (44) · психология расхламления (39) · расхламление и минимализм с чего начать (34) · расхламление квартиры или как перестать жалеть (30) · как перестать жалеть вещи расхламление (28) · расхламление дома и жизни (21) · как расхламление влияет на нашу жизнь (20) · расхламление советы психолога (10) · как научиться прощаться с вещами при расхламлении (9) · расхламление квартиры психология (7),
да,Захламление квартиры: почему человек копит вещи годами,zahlamlenie-kvartiry,Психология,/artterapy,1598,захламление квартиры (439) · хлам болезнь (421) · человек который собирает хлам (297) · почему захламление (142) · болезнь захламления (49) · причины захламление (37) · захламление квартиры истории (32) · как называется человек который не убирается (31) · как называют людей которые не убираются (28) · человек не убирается дома как называется (26) · болезнь когда человек не убирается (20) · захламление квартиры причины (16) · захламление квартиры болезнь причины (16) · человек не убирается в квартире психология (11) · человек не убирается дома это болезнь (9) · расхламление синдром плюшкина (7) · захламление квартиры как бороться (6) · психологические причины захламления (6) · расстройство захламления как называется (5),
да,Ребёнок не убирается в комнате: что делать родителям,rebenok-ne-ubiraetsya-v-komnate,Детская психология,/artterapy,6885,ребенок не убирается (2259) · дети не убираются дома (1145) · сын не убирается (709) · дочь не убирается (574) · дома бардак дети (301) · дети не хотят убираться (264) · ребенок не убирается в комнате (252) · сын не убирается в комнате (185) · дети беспорядок в доме (167) · почему ребенок не убирается (113) · бардак в комнате ребенка (107) · дочь не хочет убираться (101) · ребенок делает бардак (86) · дочь не убирается дома (77) · что делать если ребенок не убирается (71) · дочь не убирается в комнате (68) · сын не хочет убираться (61) · ребенок устраивает бардак (59) · дети наводят бардак (51) · дети навели бардак (51) · дети живут в бардаке (44) · дети не хотят убираться в комнате (32) · ребенок не хочет убираться что делать (31) · как хранить игрушки в детской без бардака (24) · почему дети не хотят убираться (22) · беспорядок игрушки в доме (13) · почему ребенок не убирается в комнате (11) · если ваш ребенок не убирается в комнате (7),
да,Подросток не убирается: бардак в комнате подростка,podrostok-ne-ubiraetsya,Детская психология,/artterapy,553,подросток не убирается (248) · подросток не убирается в комнате (95) · почему подросток не убирается (63) · подросток не хочет убираться (55) · почему подростки не убираются в комнате (31) · подросток не хочет убираться в комнате (19) · почему у подростка бардак (18) · у подростка в комнате бардак что делать (12) · почему у подростка в комнате бардак (12),
да,Бытовуха в отношениях: когда быт съедает чувства в паре,bytovuha-v-otnosheniyah,Отношения,/artterapy,1702,бытовуха в отношениях что это (195) · съедает бытовуха (154) · бытовуха дома (140) · бытовуха задолбала (135) · бытовуха в жизни (130) · семейная бытовуха (122) · устаю от бытовухи (94) · бытовуха в семье (69) · что такое бытовуха в семейной жизни (68) · жена и бытовуха (66) · сжирает бытовуха (52) · надоела бытовуха (51) · погрязли в бытовухе (40) · бытовуха съедает отношения (38) · бытовуха в отношениях что делать (38) · съедает бытовуха что делать (37) · бытовуха с парнем (32) · как справиться с бытовухой (24) · бытовуха убивает (24) · убита бытовухой (24) · заела бытовуха (23) · бытовуха достала (19) · почему бытовуха разрушает отношения (17) · что значит бытовуха в отношениях (17) · как избежать бытовухи в отношениях (16) · жена устала от бытовухи (14) · бытовуха в паре (13) · как избавится от бытовухи (13) · как избавиться от бытовухи в отношениях (11) · что значит съела бытовуха (9) · как справиться с бытовухой в отношениях (6) · выгораю от бытовухи и семьи забот (6) · после рождения ребенка бытовуха окончательно разрушила брак (5),
нет,Не хочу убираться / не могу заставить себя убраться,,,,,,"Дубль: интент уже держит net-sil-ubiratsya — «не могу заставить себя убраться» и «ненавижу убираться» стоят там в lsiKeywords, а тело статьи разбирает истощение, протест, перфекционизм. Вторая статья отбирала бы у неё выдачу. Потерянная частота ~11 000."
нет,Психология беспорядка в доме / почему дома бардак,,,,,,"Дубль: тот же net-sil-ubiratsya, раздел «Беспорядок как показатель состояния». Плюс голова «бардак в доме» 2346 наполовину занята баром и мемами."
нет,Стыд перед гостями за бардак,,,,,,"Дубль: раздел «Стыд перед гостями и перед матерью» в net-sil-ubiratsya. Своей частоты почти нет: «бардак и гости» 63, «гости пришли в бардак» 31."
нет,Нет сил на уборку,,,,,,"Дубль: net-sil-ubiratsya, primaryKeyword «нет сил убираться». Весь сид дал 4 фразы и 245 показов."
нет,"Не убиралась год, дом зарос",,,,,,"Дубль по интенту с net-sil-ubiratsya (минимальный порог, стыд). Отдельной статьёй каннибализирует её. Частоту (~2 900: «не убиралась год» 1334, «не убирались месяц» 466, «не убиралась неделю» 362, «не убираюсь дома годами» 205) лучше добрать в ту же статью через lsi."
нет,"Быт выматывает, устала от быта",,,,,,Дубль: ustala-ot-byta. Из этого сбора туда же ложатся «устаю от бытовухи» 94 и «выгораю от бытовухи и семьи забот» 6.
нет,Лень убираться,,,,,,"Дубль: kak-poborot-len. Своих фраз мало: «не ленюсь убираться» 39, «как не лениться убираться» 24, «бардак это не лень» 9."
нет,Муж / жена не убирается дома,,,,,,"Дубль: muzh-ne-pomogaet-po-domu и raspredelenie-obyazannostey-v-seme. Плюс половина куста — запрос от мужчины про жену («жена не убирается» 738, «девушка не убирается» 571), это не наша аудитория."
нет,"Женщина не убирается, плохая хозяйка",,,,,,"Запрос от третьего лица, осуждающего («женщина не убирается» 451, «женщина в бардаке» 294, «почему женщины живут в бардаке» 16). Переживание самой женщины уже закрыто разделом про стыд перед матерью в net-sil-ubiratsya."
нет,"Бардак в голове, каша из мыслей",,,,,,"Голова куста занята песнями: Найк Борзов «Бардак в моей голове», «песня в голове бардак» 859, «бардак в голове текст» 54, ещё десяток строчек из песен. По правилу 6 считаем по хвосту — там ~400 показов россыпью. Плюс риск каннибализации с navyazchivye-mysli."
нет,"Чистота в доме, как поддерживать порядок",,,,,,"Чужая тема: сид «чистота в доме» (90 фраз) — хозяйственные советы и лайфхаки, а не психология. Психологический угол есть, но мёртвый: «психология людей которые держат дом в чистоте» 14, «слишком сильно зациклена на чистоте в доме» 5, «окр чистота в доме» 5 — 175 показов на весь угол."
