годна,заголовок,slug,категория,cta,частота,ключи,причина_отказа
да,"Муж не хочет детей: как быть, если вы хотите ребёнка",muzh-ne-hochet-detey,Отношения,/coach,19908,муж не хотел ребенка (12406) · муж сказал не хочет детей (1150) · муж не хочет детей что делать (1140) · почему муж не хочет детей (1120) · муж не хочет второго (1037) · муж не хочет рожать (852) · муж не хочет детей развод (660) · муж не хочет второго ребенка (469) · очень хочу ребенка муж не хочет (321) · муж не хочет иметь детей (262) · хочу родить а муж не хочет (235) · муж не хочет общего ребенка (256),
да,"Муж не хочет разводиться: что делать, если он не отпускает",muzh-ne-hochet-razvoditsya,Отношения,/artterapy,10814,муж не хочет разводиться (4213) · муж не хочет развода (3889) · муж не хочет подавать на развод (782) · муж не хочет развода что делать (459) · муж не хочет давать развод (379) · если муж не хочет разводиться что делать (305) · хочу развода муж не уходит (210) · муж сказал не хочу разводиться (202) · хочу развестись муж не уходит (193) · муж не хочет разводится почему (182),
да,Муж ничего не хочет: апатия близкого и жизнь рядом с ней,muzh-nichego-ne-hochet,Отношения,/artterapy,5532,муж ничего не хочет (2808) · муж ничего не хочет делать (1146) · муж устал не хочет (783) · муж говорит ничего не хочет (311) · муж не хочет жить лучше (165) · почему муж ничего не хочет (160) · муж не хочет меняться (159),
да,Либидо: что это такое простыми словами и откуда берётся,slovar-libido,Словарь,/artterapy,37980,женское либидо (9713) · либидо это простыми (9039) · либидо это простыми словами (7528) · что такое либидо у женщин (4557) · что значит либидо (2051) · что такое либидо у женщин простыми (1653) · что такое либидо простыми словами у женщин (1531) · либидо ударение (1251) · энергия либидо (657),
да,Фригидность: что это такое и почему слово давно устарело,frigidnost,Словарь,/artterapy,57279,фригидность (40553) · фригидность у женщин что это (5448) · слово фригидность (2989) · что значит фригидность (1842) · фригидность это у женщин простыми (1775) · фригидность это у женщин простыми словами (1466) · что такое фригидность простыми (818) · что такое фригидность простыми словами (754) · что значит фригидность у женщин (726) · что значит слово фригидность (447) · фригидность причины (227) · женская фригидность (159) · фригидность и асексуальность (75),
да,Пропало либидо у женщины: что за этим стоит в психике,propalo-libido-u-zhenschiny,Психология,/artterapy,45408,снижение либидо (7774) · низкое либидо (7578) · пропало либидо (4458) · упавшее либидо (3791) · упало либидо (3791) · снизилось либидо (3239) · низкое либидо у женщин (2014) · снижение либидо у женщин (1438) · отсутствие либидо (1334) · пропало либидо у женщин (1159) · почему падает либидо (1057) · как вернуть либидо (1045) · как восстановить либидо (916) · почему пропало либидо (853) · упало либидо что делать (763) · причины снижения либидо (713) · причины низкого либидо (662) · упало либидо у женщины (672) · пропало желание секса (1770) · пропало сексуальное желание (381),
да,Зачем нужны объятия: сколько их нужно человеку в день,zachem-nuzhny-obyatiya,Психология,/online,11103,сила объятий (3986) · хочется объятий (1480) · сколько объятий (1123) · значение объятий (971) · не хватает объятий (493) · объятия важны (345) · тактильные объятия (224) · объятия сколько нужно (217) · объятия зачем (216) · объятий в день для счастья (203) · сколько объятий в день (198) · объятия в жизни человека (165) · сколько нужно объятий в день (165) · человеку нужно объятий в день (148) · сколько объятий нужно человеку (145) · психология объятий (132) · прикосновения объятия (892),
да,Виды объятий: что они говорят об отношениях на самом деле,vidy-obyatiy,Отношения,/artterapy,3898,язык объятий (866) · виды объятий (829) · что означают объятия (605) · что говорят объятия (487) · типы объятий (380) · объятия со спины (247) · объятия за плечи (211) · какие бывают объятия (146) · какие могут быть объятия (127),
нет,,,,,2006478,,"сид «влечение» целиком — фильмы «Роковое влечение» и «Тайное влечение», дорама «Огненное влечение», манхва «Страстное влечение»: чужое имя на голове куста, правило сбора №6"
нет,,,,,461278,,"«объятия» как медиа — «В объятиях лжи», «Солнце в объятиях луны», песни «Падай в мои объятия» и «Умри в моих объятиях»: больше половины объёма сида"
нет,,,,,98438,,"«интимная жизнь после родов, при беременности, после операции» — самый крупный пласт сида «интимная жизнь»: гинекологические сроки и противопоказания, отвечает врач"
нет,,,,,88676,,"обрезки лемматизатора: «либидо ли», «либидо слова», «либидо после», «интимная жизнь во время», «муж не хочет со» — нормализованные обрубки без интента, не живые фразы"
нет,,,,,74505,,"«таблетки и препараты для либидо» — аптека и БАДы, блогу закрыто"
нет,,,,,58507,,"«порнозапросы» — 18+ по всем сидам сразу, отсеяно машинно"
нет,,,,,54971,,"«сексуальное влечение», «половое влечение» — определительный интент есть, но он слово в слово каннибализировал бы словарную статью про либидо; сознательно отдан ей"
нет,,,,,54919,,"«муж меня не хочет» — дубль статьи muzh-otkazyvaet-v-blizosti «Муж отказывает в близости». Самая крупная фраза сбора уже закрыта; статью стоит перенацелить на этот ключ, а не писать вторую"
нет,,,,,52927,,"«как повысить либидо» — запрос читается как поиск средства, а не переживания: выдача забита БАДами и аптекой"
нет,,,,,42982,,"«повышенное либидо» — гиперсексуальность: половина выдачи медицинская, половина 18+, психологического интента в хвосте нет"
нет,,,,,34703,,"«тестостерон, гормоны и либидо» — эндокринология, вопрос к врачу"
нет,,,,,29628,,"«жена не хочет мужа» — субъект запроса мужчина, ищет объяснение про жену; наша аудитория женщина, и её сторона уже закрыта статьёй perestala-hotet-muzha"
нет,,,,,22180,,"«мужское либидо и мужская фригидность» — субъект переживания мужчина, не наша аудитория"
нет,,,,,20239,,"«бывший муж не хочет» 16226 — обрезанная фраза-сумма: весь хвост вместе меньше четверти головы, интент не читается (правило сбора №2)"
нет,,,,,18887,,«не хочу мужа» — дубль двух статей сразу: otkazyvayu-muzhu-v-blizosti и perestala-hotet-muzha
нет,,,,,17825,,"«либидо после 40 и 50» — климакс и возрастная гормональная перестройка, медицинская тема"
нет,,,,,17067,,"«бесплатные объятия» и «день объятий» — флешмоб free hugs и календарный повод, а не тема статьи"
нет,,,,,13393,,"«муж не хочет дом / дачу / машину / ипотеку» — бытовые разногласия, каждая ниже порога и не складывается в один интент"
нет,,,,,12226,,«пропали желания» — дубль nichego-ne-hochu и prichiny-apatii
нет,,,,,10718,,"головная фраза «либидо» 258904 частично держится товаром: «либидо отзывы», «либидо средство». Голову в частоту годной темы не считал, взял только определительный хвост"
нет,,,,,9266,,"«желание пропасть» 8918 и «пропало желание жить» — суицидальный интент, не берём ни в каком виде (правило отбора №2)"
нет,,,,,7176,,«влечение к бывшему» — дубль kak-zabyt-cheloveka и byvshiy-muzh-posle-rasstavaniya
нет,,,,,7126,,"«объятия почему ъ» и «объятия морфея» — орфография и фразеология, чужая тема"
нет,,,,,6997,,«родня мужа» — дубль rodnya-muzha-ne-pomogaet и svekrov-i-dengi-muzha
нет,,,,,6251,,"«противозачаточные и либидо» — фармакология, вопрос к гинекологу"
нет,,,,,6067,,«не хочу жить с мужем» — дубль связки nadoel-muzh и stoit-li-razvoditsya
нет,,,,,4918,,"«тест на фригидность / на либидо» — диагностика и шкалы, по правилам отбора не берём"
нет,,,,,4594,,«не хочу видеть мужа» — дубль zlost-na-muzha и nadoel-muzh
